SYMBOL	PROBEID	CHR	STRAND	CHRLOCSTART	CHRLOCEND	GENENAME
Cr2	ILMN_2696049	1	-	-195136811	-195176715	complement receptor 2
Cr1l	ILMN_1234997	1	-	-195103788	-195131570	complement component (3b/4b) receptor 1-like
Cd46	ILMN_2729316	1	-	-195041900	-195092248	CD46 antigen, complement regulatory protein
Gm16897	ILMN_1213010	1	-	-194955759	-194976959	predicted gene, 16897
Camk1g	ILMN_1228546	1	-	-193346346	-193370282	calcium/calmodulin-dependent protein kinase I gamma
G0s2	ILMN_1257299	1	-	-193272160	-193273188	G0/G1 switch gene 2
Hsd11b1	ILMN_1214998	1	-	-193221641	-193264045	hydroxysteroid 11-beta dehydrogenase 1
Traf3ip3	ILMN_1243150	1	-	-193175504	-193201546	TRAF3 interacting protein 3
Diexf	ILMN_1218955	1	-	-193104403	-193130251	digestive organ expansion factor homolog (zebrafish)
Syt14	ILMN_1231230	1	-	-192897307	-193035698	synaptotagmin XIV
Sertad4	ILMN_1229745	1	-	-192844488	-192855752	SERTA domain containing 4
Hhat	ILMN_1235623	1	-	-192512828	-192771219	hedgehog acyltransferase
Rcor3	ILMN_2647400	1	-	-192100462	-192137787	REST corepressor 3
Traf5	ILMN_2440604	1	-	-192054350	-192092564	TNF receptor-associated factor 5
1700034H15Rik	ILMN_2615928	1	-	-191894072	-191907527	RIKEN cDNA 1700034H15 gene
Dtl	ILMN_2644963	1	-	-191537365	-191575534	denticleless homolog (Drosophila)
Ppp2r5a	ILMN_2746766	1	-	-191351981	-191397041	protein phosphatase 2, regulatory subunit B (B56), alpha isoform
Nenf	ILMN_2941728	1	-	-191306797	-191318118	neuron derived neurotrophic factor
Atf3	ILMN_2619408	1	-	-191170297	-191183333	activating transcription factor 3
Tatdn3	ILMN_2647204	1	-	-191045830	-191062932	TatD DNase domain containing 3
Mfsd7b	ILMN_1222512	1	-	-191005832	-191026190	major facilitator superfamily domain containing 7B
Vash2	ILMN_2719036	1	-	-190947646	-190979296	vasohibin 2
Rps6kc1	ILMN_2417514	1	-	-190772879	-190911770	ribosomal protein S6 kinase polypeptide 1
Prox1	ILMN_2598766	1	-	-190121777	-190170680	prospero-related homeobox 1
Smyd2	ILMN_2674001	1	-	-189880492	-189922288	SET and MYND domain containing 2
Cenpf	ILMN_1234999	1	-	-189640614	-189688086	centromere protein F
Kcnk2	ILMN_1226055	1	-	-189207930	-189344192	potassium channel, subfamily K, member 2
Kctd3	ILMN_1224318	1	-	-188971098	-189007840	potassium channel tetramerisation domain containing 3
Spata17	ILMN_1248007	1	-	-187135293	-187215446	spermatogenesis associated 17
Rrp15	ILMN_2629856	1	-	-186721087	-186749358	ribosomal RNA processing 15 homolog (S. cerevisiae)
Tgfb2	ILMN_1225196	1	-	-186623186	-186705992	transforming growth factor, beta 2
Lyplal1	ILMN_1248108	1	-	-186087732	-186117310	lysophospholipase-like 1
Gm2061	ILMN_1224416	1	-	-185447116	-185455568	predicted gene 2061
9630028B13Rik	ILMN_2857095	1	-	-185429357	-185441819	RIKEN cDNA 9630028B13 gene
Iars2	ILMN_2667814	1	-	-185286662	-185329401	isoleucine-tRNA synthetase 2, mitochondrial
Mark1	ILMN_1236611	1	-	-184896424	-184999549	MAP/microtubule affinity-regulating kinase 1
C130074G19Rik	ILMN_1219466	1	-	-184871926	-184883036	RIKEN cDNA C130074G19 gene
2-Mar	ILMN_2602195	1	-	-184813068	-184845847	mitochondrial amidoxime reducing component 2
1-Mar	ILMN_1246673	1	-	-184786767	-184811313	mitochondrial amidoxime reducing component 1
Hlx	ILMN_2637757	1	-	-184727145	-184732493	H2.0-like homeobox
1700112H15Rik	ILMN_2743541	1	-	-184527841	-184557691	RIKEN cDNA 1700112H15 gene
1700056E22Rik	ILMN_2475761	1	-	-184033032	-184033998	RIKEN cDNA 1700056E22 gene
Mia3	ILMN_1226269	1	-	-183326236	-183369565	melanoma inhibitory activity 3
Brox	ILMN_2637698	1	-	-183276342	-183297008	BRO1 domain and CAAX motif containing
Disp1	ILMN_2772288	1	-	-183086264	-183221529	dispatched homolog 1 (Drosophila)
4922505E12Rik	ILMN_2825496	1	-	-182747126	-182749180	RIKEN cDNA 4922505E12 gene
Capn2	ILMN_1219583	1	-	-182467259	-182517483	calpain 2
Fbxo28	ILMN_2653143	1	-	-182313102	-182341606	F-box protein 28
Degs1	ILMN_2709470	1	-	-182275770	-182282759	degenerative spermatocyte homolog 1 (Drosophila)
Enah	ILMN_2636853	1	-	-181904445	-182019980	enabled homolog (Drosophila)
Lbr	ILMN_2509988	1	-	-181815315	-181842401	lamin B receptor
4930526D03Rik	ILMN_1222484	2	-	-181696795	-181698442	RIKEN cDNA 4930526D03 gene
Rgs19	ILMN_2544368	2	-	-181688423	-181693924	regulator of G-protein signaling 19
Sox18	ILMN_2645321	2	-	-181669837	-181671640	SRY-box containing gene 18
Samd10	ILMN_2656359	2	-	-181595218	-181599147	sterile alpha motif domain containing 10
Znf512b	ILMN_1219778	2	-	-181582103	-181592461	zinc finger protein 512B
Uckl1	ILMN_2483348	2	-	-181569153	-181581973	uridine-cytidine kinase 1-like 1
Ccdc121	ILMN_1259013	1	-	-181509633	-181511451	coiled-coil domain containing 121
Zbtb46	ILMN_2545424	2	-	-181410547	-181459426	zinc finger and BTB domain containing 46
Arfrp1	ILMN_1226330	2	-	-181357690	-181365404	ADP-ribosylation factor related protein 1
Stmn3	ILMN_1225704	2	-	-181306459	-181314500	stathmin-like 3
Gmeb2	ILMN_1235072	2	-	-181251451	-181287966	glucocorticoid modulatory element binding protein 2
Helz2	ILMN_1226639	2	-	-181227615	-181242027	helicase with zinc finger 2, transcriptional coactivator
Srms	ILMN_1236717	2	-	-181205563	-181213171	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites
Ptk6	ILMN_1242418	2	-	-181195124	-181202789	PTK6 protein tyrosine kinase 6
Wdr26	ILMN_2464326	1	-	-181173226	-181211978	WD repeat domain 26
Eef1a2	ILMN_2645171	2	-	-181147692	-181157015	eukaryotic translation elongation factor 1 alpha 2
Kcnq2	ILMN_1241017	2	-	-181108444	-181135225	potassium voltage-gated channel, subfamily Q, member 2
Nvl	ILMN_1217759	1	-	-181093423	-181144157	nuclear VCP-like
Chrna4	ILMN_1245582	2	-	-181022311	-181039177	cholinergic receptor, nicotinic, alpha polypeptide 4
Ephx1	ILMN_2664224	1	-	-180989556	-181017495	epoxide hydrolase 1, microsomal
Nkain4	ILMN_1242188	2	-	-180934772	-180954699	Na+/K+ transporting ATPase interacting 4
Ythdf1	ILMN_1235701	2	-	-180904377	-180920936	YTH domain family 1
H3f3a	ILMN_1213808	1	-	-180802568	-180813603	H3 histone, family 3A
Bhlhe23	ILMN_1227215	2	-	-180774381	-180776900	basic helix-loop-helix family, member e23
Mixl1	ILMN_1245893	1	-	-180693048	-180697034	Mix1 homeobox-like 1 (Xenopus laevis)
Dido1	ILMN_1222756	2	-	-180681059	-180702100	death inducer-obliterator 1
Tcfl5	ILMN_2733257	2	-	-180621957	-180642691	transcription factor-like 5 (basic helix-loop-helix)
6330403A02Rik	ILMN_1217350	1	-	-180432373	-180483504	RIKEN cDNA 6330403A02 gene
B230312C02Rik	ILMN_1236176	2	-	-180370858	-180385885	RIKEN cDNA B230312C02 gene
Gm5069	ILMN_2591127	1	-	-180326969	-180330549	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gata5	ILMN_2596855	2	-	-180325088	-180334679	GATA binding protein 5
Rbbp8nl	ILMN_2750219	2	-	-180277646	-180289879	RBBP8 N-terminal like
Cables2	ILMN_1220084	2	-	-180258539	-180273465	CDK5 and Abl enzyme substrate 2
Psen2	ILMN_2941992	1	-	-180227004	-180256300	presenilin 2
Lama5	ILMN_2640248	2	-	-180176373	-180225859	laminin, alpha 5
Adck3	ILMN_2800813	1	-	-180165238	-180196020	aarF domain containing kinase 3
Hrh3	ILMN_1256117	2	-	-180099473	-180104222	histamine receptor H3
Psma7	ILMN_2630328	2	-	-180036376	-180042402	proteasome (prosome, macropain) subunit, alpha type 7
